CLICK,GRAB,ATCHECKOUT,FIXATION,FIXDURAS,FRAME,TIMESTPS,X,Y,BOUGHT,SUBJECT,IMAGEFILE,VIDEOFILE,RAWFIXATIONFILE,BAYSHELFAOI,VARIANTAOI,SIDE,BAYSHELF,BRAND,BRANDBLOCK,CATEGORY,COLOUR,SEGMENT,VARIANT
144,,0,2377,0.34,29677,1187.08,14635,4111,0,222,WW2019 Aisle 4 Base Image V7,Recording224_Participant222_00.00.00-00.41.24.mp4,P222.csv,SD2B18S4,path1776,2,B18S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink Sugar Free 4x250ml
112,,0,2378,0.42,29687,1187.48,14937,3803,0,222,WW2019 Aisle 4 Base Image V7,Recording224_Participant222_00.00.00-00.41.24.mp4,P222.csv,SD2B18S3,path1744,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Orange,Energy Single Serve,Red Bull Orange Energy Drink 250ml
42,,0,2219,0.38,32688,1307.52,15592,3336,0,225,WW2019 Aisle 4 Base Image V7,Recording227_Participant225_00.00.00-00.55.17.mp4,P225.csv,SD2B19S1,path1730,2,B19S1,V,B19S1-6 V,Energy,Blue,Energy Single Serve,V Energy Drink Blue 500ml
40,,0,2217,0.54,32666,1306.64,14418,3908,0,225,WW2019 Aisle 4 Base Image V7,Recording227_Participant225_00.00.00-00.55.17.mp4,P225.csv,SD2B18S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
38,,0,2215,0.16,32655,1306.2,14655,3740,0,225,WW2019 Aisle 4 Base Image V7,Recording227_Participant225_00.00.00-00.55.17.mp4,P225.csv,SD2B18S3,path1740,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Black,Energy Single Serve,Red Bull Energy Drink Zero 250ml
39,,0,2216,0.18,32660,1306.4,14773,3641,0,225,WW2019 Aisle 4 Base Image V7,Recording227_Participant225_00.00.00-00.55.17.mp4,P225.csv,SD2B18S2,path1756,2,B18S2,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 473ml
44,,0,2221,0.26,32711,1308.44,15000,3434,0,225,WW2019 Aisle 4 Base Image V7,Recording227_Participant225_00.00.00-00.55.17.mp4,P225.csv,SD2B18S2,path1768,2,B18S2,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 250ml
31,,0,2208,0.28,32583,1303.32,15187,4342,0,225,WW2019 Aisle 4 Base Image V7,Recording227_Participant225_00.00.00-00.55.17.mp4,P225.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
24,,0,1489,0.1,18036,721.44,15720,4249,0,229,WW2019 Aisle 4 Base Image V7,Recording231_Participant229_00.00.00-00.19.31.mp4,P229.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
28,,0,1522,0.22,20926,837.04,15231,4272,0,231,WW2019 Aisle 4 Base Image V7,Recording233_Participant231_00.00.00-00.40.00.mp4,P231.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
57,,0,1453,0.14,20920,836.8,15284,3985,0,232,WW2019 Aisle 4 Base Image V7,Recording234_Participant232_00.00.00-00.51.39.mp4,P232.csv,SD2B19S4,path1780,2,B19S4,V,B19S1-6 V,Energy,Blue,Energy Multi Pack,V Energy Drink Blue 4x275ml
251,,0,793,0.2,11061,442.44,14806,3976,0,242,WW2019 Aisle 4 Base Image V7,Recording245_Participant242_00.00.00-00.25.35.mp4,P242.csv,SD2B18S4,path1776,2,B18S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink Sugar Free 4x250ml
72,,0,1810,0.44,22346,893.84,14349,3863,0,253,WW2019 Aisle 4 Base Image V7,Recording256_Participant253_00.00.00-00.53.45.mp4,P253.csv,SD2B18S3,path1738,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 355ml
37,,0,1808,0.18,22319,892.76,15569,3969,0,253,WW2019 Aisle 4 Base Image V7,Recording256_Participant253_00.00.00-00.53.45.mp4,P253.csv,SD2B19S4,path1024,2,B19S4,V,B19S1-6 V,Energy,Grey,Energy Multi Pack,V Pure Energy Drink 250ml x4 pack
81,,0,1120,0.12,12699,507.96,14045,4086,0,254,WW2019 Aisle 4 Base Image V7,Recording257_Participant254_00.00.00-00.40.17.mp4,P254.csv,SD2B17S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
64,,0,1103,0.12,12554,502.16,15778,4236,0,254,WW2019 Aisle 4 Base Image V7,Recording257_Participant254_00.00.00-00.40.17.mp4,P254.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
87,,0,1126,0.14,12770,510.8,14033,3987,0,254,WW2019 Aisle 4 Base Image V7,Recording257_Participant254_00.00.00-00.40.17.mp4,P254.csv,SD2B17S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
73,,0,1112,0.32,12635,505.4,14909,4105,0,254,WW2019 Aisle 4 Base Image V7,Recording257_Participant254_00.00.00-00.40.17.mp4,P254.csv,SD2B18S4,path1778,2,B18S4,Red Bull,B17-19S2-5 Red Bull,Energy,Black,Energy Multi Pack,Red Bull Energy Drink Zero 4x250ml
